
📺｜珠江台,#genre#
珠江台,http://183.6.110.241:9901/hls/1050/index.m3u8
珠江台http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
珠江台http://120.197.112.28:9901/tsfile/live/1019_1.m3u8
珠江台http://113.86.204.95:9999/udp/239.77.0.114:5146
珠江台http://183.6.110.242:9901/hls/1050/index.m3u8
珠江台https://z88.ubtvfans.com/live/rx1/1034/ea91e47e0ce349e1923cbcb373067494/index.m3u8

📺｜央视频道,#genre#
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1 综合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV-1 综合,http://218.29.55.44:808/hls/1/index.m3u8
CCTV-1 综合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV-1 综合,http://m.a1.gs/p/migu.php?id=cctv1

CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-2 财经,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV-2 财经,http://218.29.55.44:808/hls/2/index.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2 财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://cm.wshls.homecdn.com/live/11ecc.m3u8
CCTV-2 财经,http://183.207.255.207/live/program/live/cctv2/1300000/mnf.m3u8

CCTV-3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV-3 综艺,http://lu1.cc/itv/sjtv/p/migu.php?id=cctv3
CCTV-3 综艺,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV-3 综艺,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV-3 综艺,http://218.29.55.44:808/hls/3/index.m3u8
CCTV-3 综艺,http://183.207.255.207/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-3 综艺,http://yfsl.vsd.gehua.net.cn/live/CCTV3HD_1200.m3u8

CCTV-4 中文国际,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4 中文国际,http://218.29.55.44:808/hls/4/index.m3u8

